Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
Matimba_2,Hard Coal,Steam Turbine,PP,ZA,1845.0,,,,,,1990,,,-23.66777,27.61277,,RSA_FIXED_TECHNOLOGIES,Lephalale
Matla,Hard Coal,Steam Turbine,PP,ZA,1725.0,,,,,,1990,,,-26.28036,29.14229,,RSA_FIXED_TECHNOLOGIES,Witbank
Matla_2,Hard Coal,Steam Turbine,PP,ZA,1725.0,,,,,,1990,,,-26.28036,29.14229,,RSA_FIXED_TECHNOLOGIES,Witbank
Medupi,Hard Coal,Steam Turbine,PP,ZA,3600.0,,,,,,1990,,,-23.42,27.33,,RSA_FIXED_TECHNOLOGIES,Lephalale
Medupi_2,Hard Coal,Steam Turbine,PP,ZA,717.0,,,,,,1990,,,-23.42,27.33,,RSA_FIXED_TECHNOLOGIES,Lephalale
Tutuka,Hard Coal,Steam Turbine,PP,ZA,1755.0,,,,,,1990,,,-26.77565,29.35212,,RSA_FIXED_TECHNOLOGIES,Highveld South
Tutuka_2,Hard Coal,Steam Turbine,PP,ZA,1755.0,,,,,,1990,,,-26.77565,29.35212,,RSA_FIXED_TECHNOLOGIES,Highveld South
Koeberg,Nuclear,Steam Turbine,PP,ZA,1854.0,,,,,,1990,,,-33.673594,18.428247,,RSA_FIXED_TECHNOLOGIES,Peninsula
Ankerlig,Oil,OCGT,PP,ZA,1332.0,,,,,,1990,,,-33.592,18.4607,,RSA_FIXED_TECHNOLOGIES,Peninsula
Gourikwa,Oil,OCGT,PP,ZA,740.0,,,,,,1990,,,-34.16526,21.96077,,RSA_FIXED_TECHNOLOGIES,Outeniqua
Acacia,Oil,OCGT,PP,ZA,171.0,,,,,,1990,,,-33.88408,18.53361,,RSA_FIXED_TECHNOLOGIES,Peninsula
PortRex,Oil,OCGT,PP,ZA,171.0,,,,,,1990,,,-33.02739,27.88382,,RSA_FIXED_TECHNOLOGIES,East London
Gariep,Hydro,Reservoir,PP,ZA,360.0,,,,,,1990,,,-30.62396,25.50403,,RSA_FIXED_TECHNOLOGIES,Hydra Central
Vanderkloof,Hydro,Reservoir,PP,ZA,240.0,,,,,,1990,,,-29.99337,24.73384,,RSA_FIXED_TECHNOLOGIES,Hydra Central
Avon,Oil,OCGT,PP,ZA,670.0,,,,,,1990,,,-29.251,31.0941,,RSA_FIXED_TECHNOLOGIES,Pinetown
Dedisa,Oil,OCGT,PP,ZA,335.0,,,,,,1990,,,-33.4433,25.4022,,RSA_FIXED_TECHNOLOGIES,Gqeberha
Secunda_coal,Hard Coal,Steam Turbine,PP,ZA,600.04,,,,,,1990,,,-26.5036,29.1803,,RSA_FIXED_TECHNOLOGIES,Witbank
Sasolburg_coal,Hard Coal,Steam Turbine,PP,ZA,128.0,,,,,,1990,,,-26.5036,29.1803,,RSA_FIXED_TECHNOLOGIES,Witbank
Sasol_ice,Natural Gas,OCGT,PP,ZA,174.6,,,,,,1990,,,-26.8102,27.8277,,RSA_FIXED_TECHNOLOGIES,Vaal
Sasol_ocgt,Natural Gas,OCGT,PP,ZA,250.0,,,,,,1990,,,-26.8102,27.8277,,RSA_FIXED_TECHNOLOGIES,Vaal
Kaxu Solar One,Solar,CSP,PP,ZA,100.0,,,,,,2015,,,-28.8793,19.5929,,RSA_FIXED_TECHNOLOGIES,Namaqualand
Khi Solar One,Solar,CSP,PP,ZA,50.0,,,,,,2015,,,-28.5364,21.0782,,RSA_FIXED_TECHNOLOGIES,Kimberley
Bokpoort CSP project,Solar,CSP,PP,ZA,50.0,,,,,,2016,,,-28.7333,21.9955,,RSA_FIXED_TECHNOLOGIES,Kimberley
!XiNa Solar One,Solar,CSP,PP,ZA,100.0,,,,,,2017,,,-28.8906,19.5918,,RSA_FIXED_TECHNOLOGIES,Namaqualand
Karoshoek Solar One,Solar,CSP,PP,ZA,100.0,,,,,,2019,,,-28.4819,21.5204,,RSA_FIXED_TECHNOLOGIES,Kimberley
Kathu Solar Park,Solar,CSP,PP,ZA,100.0,,,,,,2019,,,-27.6095,23.0276,,RSA_FIXED_TECHNOLOGIES,Kalahari
Neusberg Hydro Electrical Project,Hydro,Reservoir,PP,ZA,10.0,,,,,,2020,,,-28.752697,20.5335,,RSA_FIXED_TECHNOLOGIES,Namaqualand
Stortemelk Hydro,Hydro,Reservoir,PP,ZA,4.22,,,,,,2020,,,-28.514154,28.410144,,RSA_FIXED_TECHNOLOGIES,Ladysmith
Kruisvallei Hydro,Hydro,Reservoir,PP,ZA,3.8,,,,,,2020,,,-28.242503,28.307683,,RSA_FIXED_TECHNOLOGIES,Ladysmith
ColleyWobbles,Hydro,Reservoir,PP,ZA,65.0,,,,,,2020,,,-32.05,28.58333,,RSA_FIXED_TECHNOLOGIES,Mthatha
ENERGY Joburg Landfill Gas to Electircity Project,Bioenergy,Steam Turbine,PP,ZA,7.56,,,,,,2020,,,-26.194954,28.032528,,RSA_FIXED_TECHNOLOGIES,Johannesburg
Ngodwana Energy,Bioenergy,Steam Turbine,PP,ZA,25.0,,,,,,2020,,,-25.480898,30.974305,,RSA_FIXED_TECHNOLOGIES,Lowveld
Sappi,Bioenergy,Steam Turbine,PP,ZA,144.0,,,,,,2020,,,-25.3447,30.394,,RSA_FIXED_TECHNOLOGIES,Middelburg
Drakensberg,Hydro,Pumped Storage,Store,ZA,1000.0,,,,,21700.0,1990,,,-28.56283,29.08275,,RSA_FIXED_TECHNOLOGIES,Ladysmith
Ingula,Hydro,Pumped Storage,Store,ZA,1324.0,,,,,27400.0,1990,,,-28.165,29.3512,,RSA_FIXED_TECHNOLOGIES,Ladysmith
Palmiet,Hydro,Pumped Storage,Store,ZA,400.0,,,,,10000.0,1990,,,-34.19722,18.97361,,RSA_FIXED_TECHNOLOGIES,Peninsula
Steenbras,Hydro,Pumped Storage,Store,ZA,180.0,,,,,2700.0,1990,,,-34.153,18.9,,RSA_FIXED_TECHNOLOGIES,Peninsula
Hex,Battery,Battery Storage,Store,ZA,20.0,,,,,,2023,,,-33.64,19.48,,RSA_FIXED_TECHNOLOGIES,Outeniqua
Amakhala,Wind,Onshore,PP,ZA,137.9,,,,,,2016,,,-32.692,26.1083,,REIPPPP,Gqeberha
Aurora,Wind,Onshore,PP,ZA,90.8,,,,,,2015,,,-32.83425,17.995611,,REIPPPP,West Coast
Chaba,Wind,Onshore,PP,ZA,20.6,,,,,,2015,,,-32.5901,27.9623,,REIPPPP,East London
Cookhouse,Wind,Onshore,PP,ZA,135.0,,,,,,2014,,,-32.7333,25.9093,,REIPPPP,Gqeberha
Copperton,Wind,Onshore,PP,ZA,102.0,,,,,,2020,,,-34.1286,24.4818,,REIPPPP,Gqeberha
Dassieklip,Wind,Onshore,PP,ZA,26.19,,,,,,2014,,,-34.2275,19.383,,REIPPPP,Outeniqua
Dorper,Wind,Onshore,PP,ZA,97.0,,,,,,2014,,,-31.4809,26.4393,,REIPPPP,Hydra Central
Exelsior,Wind,Onshore,PP,ZA,31.9,,,,,,2020,,,-34.2423,20.2307,,REIPPPP,Outeniqua
Garob,Wind,Onshore,PP,ZA,135.9,,,,,,2021,,,-29.959,22.4131,,REIPPPP,Kimberley
Golden_valley,Wind,Onshore,PP,ZA,117.72,,,,,,2021,,,-32.8875,25.9418,,REIPPPP,Gqeberha
Gouda,Wind,Onshore,PP,ZA,135.2,,,,,,2015,,,-33.2564,19.0184,,REIPPPP,Outeniqua
Grassridge,Wind,Onshore,PP,ZA,59.8,,,,,,2016,,,-33.6551,25.5915,,REIPPPP,Gqeberha
Hopefield,Wind,Onshore,PP,ZA,65.4,,,,,,2014,,,-33.0928,18.3989,,REIPPPP,West Coast
Jeffreysbay,Wind,Onshore,PP,ZA,133.86,,,,,,2014,,,-34.0107,24.8808,,REIPPPP,Gqeberha
Kangnas,Wind,Onshore,PP,ZA,136.7,,,,,,2020,,,-29.498217,18.333566,,REIPPPP,Namaqualand
Karusa,Wind,Onshore,PP,ZA,139.8,,,,,,2022,,,-32.8858,20.6567,,REIPPPP,Greater Komsberg
Khobab,Wind,Onshore,PP,ZA,137.7,,,,,,2017,,,-30.4344,19.5538,,REIPPPP,Vredendal
Kouga,Wind,Onshore,PP,ZA,77.6,,,,,,2015,,,-34.14656,24.7004,,REIPPPP,Gqeberha
Loeriesfontein2,Wind,Onshore,PP,ZA,138.2,,,,,,2017,,,-30.380404,19.589285,,REIPPPP,Vredendal
Mulilo_de_aar1,Wind,Onshore,PP,ZA,139.0,,,,,,2017,,,-30.716667,23.920556,,REIPPPP,Hydra Central
Mulilo_de_aar2,Wind,Onshore,PP,ZA,96.5,,,,,,2017,,,-30.7349,23.8665,,REIPPPP,Hydra Central
Metrowind,Wind,Onshore,PP,ZA,86.6,,,,,,2014,,,-33.96222,25.24444,,REIPPPP,Gqeberha
Noblesfontein,Wind,Onshore,PP,ZA,72.75,,,,,,2014,,,-31.750833,23.173333,,REIPPPP,Hydra Central
Nojoli,Wind,Onshore,PP,ZA,86.6,,,,,,2016,,,-32.771,25.91566,,REIPPPP,Gqeberha
Noupoort,Wind,Onshore,PP,ZA,79.1,,,,,,2016,,,-31.172814,25.016449,,REIPPPP,Hydra Central
Nxuba,Wind,Onshore,PP,ZA,138.9,,,,,,2020,,,-32.73767,25.96684,,REIPPPP,Gqeberha
Oyster_bay,Wind,Onshore,PP,ZA,140.0,,,,,,2021,,,-34.11639,24.64889,,REIPPPP,Gqeberha
Perdekraal_east,Wind,Onshore,PP,ZA,107.76,,,,,,2020,,,-33.054444,20.100278,,REIPPPP,Greater Komsberg
Gibson_bay,Wind,Onshore,PP,ZA,110.0,,,,,,2017,,,-34.1286,24.4818,,REIPPPP,Gqeberha
Roggeveld,Wind,Onshore,PP,ZA,140.0,,,,,,2022,,,-32.917233,20.509089,,REIPPPP,Greater Komsberg
Sere,Wind,Onshore,PP,ZA,100.0,,,,,,2015,,,-31.496857,18.063376,,REIPPPP,Vredendal
Soetwater,Wind,Onshore,PP,ZA,139.4,,,,,,2022,,,-32.754,20.6396,,REIPPPP,Outeniqua
Tsitsikama,Wind,Onshore,PP,ZA,94.8,,,,,,2016,,,-34.0735,24.5067,,REIPPPP,Gqeberha
Waainek,Wind,Onshore,PP,ZA,23.4,,,,,,2016,,,-32.5901,26.4569,,REIPPPP,Gqeberha
Wesley_ciskei,Wind,Onshore,PP,ZA,32.7,,,,,,2021,,,-33.29028,27.37222,,REIPPPP,Gqeberha
Aries Solar,Solar,PV,PP,ZA,9.65,,,,,,2014,,,-29.496506,20.785119,,REIPPPP,Namaqualand
De Aar Solar PV,Solar,PV,PP,ZA,48.25,,,,,,2014,,,-30.6234,24.0283,,REIPPPP,Hydra Central
Droogfontein Solar PV Project,Solar,PV,PP,ZA,48.25,,,,,,2014,,,-28.6133,24.7468,,REIPPPP,Kimberley
Greefspan PV Power Plant1,Solar,PV,PP,ZA,10.0,,,,,,2014,,,-29.393781,23.307708,,REIPPPP,Kimberley
Herbert PV Power Plant,Solar,PV,PP,ZA,19.9,,,,,,2014,,,-29.0019,23.8019,,REIPPPP,Kimberley
Kalkbult,Solar,PV,PP,ZA,72.5,,,,,,2014,,,-30.160833,24.135833,,REIPPPP,Hydra Central
Kathu Solar Energy Facility,Solar,PV,PP,ZA,75.0,,,,,,2014,,,-27.612908,23.025886,,REIPPPP,Kalahari
Konkoonsies Solar,Solar,PV,PP,ZA,9.65,,,,,,2014,,,-28.889147,19.555275,,REIPPPP,Namaqualand
Lesedi Power Company,Solar,PV,PP,ZA,64.0,,,,,,2014,,,-28.3154,23.3501,,REIPPPP,Kimberley
Letsatsi Power Company,Solar,PV,PP,ZA,64.0,,,,,,2014,,,-28.9134,25.9199,,REIPPPP,Welkom
Mulilo Renewable Energy Solar PV De Aar,Solar,PV,PP,ZA,9.65,,,,,,2014,,,-30.6279,24.005453,,REIPPPP,Hydra Central
Mulilo Renewable Energy Solar PV Prieska,Solar,PV,PP,ZA,19.9,,,,,,2014,,,-29.967661,22.319683,,REIPPPP,Kimberley
RustMo1 Solar Farm,Solar,PV,PP,ZA,6.76,,,,,,2013,,,-25.737892,27.418314,,REIPPPP,Rustenburg
SlimSun Swartland Solar Park,Solar,PV,PP,ZA,5.0,,,,,,2015,,,-33.35,18.529708,,REIPPPP,West Coast
Solar Capital De Aar,Solar,PV,PP,ZA,75.0,,,,,,2014,,,-30.604753,24.095239,,REIPPPP,Hydra Central
Soutpan Solar Park,Solar,PV,PP,ZA,28.0,,,,,,2014,,,-22.991667,29.251667,,REIPPPP,Polokwane
Touwsrivier Project,Solar,PV,PP,ZA,36.0,,,,,,2014,,,-33.410389,19.9276,,REIPPPP,Outeniqua
Witkop Solar Park,Solar,PV,PP,ZA,30.0,,,,,,2014,,,-24.041667,29.361667,,REIPPPP,Polokwane
Boshoff Solar Park,Solar,PV,PP,ZA,60.0,,,,,,2014,,,-28.4628,25.1891,,REIPPPP,Kimberley
Jasper Power Company,Solar,PV,PP,ZA,75.0,,,,,,2014,,,-28.3133,23.3751,,REIPPPP,Kimberley
Linde,Solar,PV,PP,ZA,36.8,,,,,,2013,,,-30.9986,24.6506,,REIPPPP,Hydra Central
Project Dreunberg,Solar,PV,PP,ZA,69.9,,,,,,2014,,,-30.8373,26.2055,,REIPPPP,Hydra Central
Sishen Solar Facility,Solar,PV,PP,ZA,74.0,,,,,,2014,,,-27.583611,22.932778,,REIPPPP,Kalahari
Solar Capital De Aar 3,Solar,PV,PP,ZA,75.0,,,,,,2014,,,-30.604753,24.095239,,REIPPPP,Hydra Central
Upington Solar PV,Solar,PV,PP,ZA,8.9,,,,,,2014,,,-28.5493,21.1038,,REIPPPP,Kimberley
Vredendal,Solar,PV,PP,ZA,8.8,,,,,,2014,,,-31.634886,18.505356,,REIPPPP,Vredendal
Adams Solar PV 2,Solar,PV,PP,ZA,75.0,,,,,,2017,,,-27.378969,23.012989,,REIPPPP,Kalahari
Electra Capital (Pty) Ltd,Solar,PV,PP,ZA,75.0,,,,,,2016,,,-32.4148,18.7379,,REIPPPP,West Coast
Mulilo Prieska PV,Solar,PV,PP,ZA,75.0,,,,,,2016,,,-30.0375,22.317222,,REIPPPP,Kimberley
Mulilo Sonnedix Prieska PV,Solar,PV,PP,ZA,75.0,,,,,,2016,,,-30.024444,22.362778,,REIPPPP,Kimberley
Pulida Solar Park,Solar,PV,PP,ZA,75.0,,,,,,2017,,,-29.086944,24.903333,,REIPPPP,Kimberley
Tom Burke Solar Park,Solar,PV,PP,ZA,60.0,,,,,,2016,,,-23.072778,27.989444,,REIPPPP,Lephalale
Aggeneys Solar,Solar,PV,PP,ZA,40.0,,,,,,2020,,,-29.235794,18.897656,,REIPPPP,Namaqualand
Droogfontein Solar Power,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-26.854002,26.642111,,REIPPPP,Carletonville
Dyasons Klip 1,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-28.5493,21.1038,,REIPPPP,Kimberley
Dyasons Klip 2,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-28.5707,21.0613,,REIPPPP,Kimberley
Konkoonsies II Solar PV Facility,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-28.898811,19.557383,,REIPPPP,Namaqualand
Sirius Solar PV Project One,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-28.547361,21.09495,,REIPPPP,Kimberley
Loeriesfontein Orange,Solar,PV,PP,ZA,75.0,,,,,,2023,,,-30.918109,19.441043,,REIPPPP,Vredendal
Greefspan PV Power Plant2,Solar,PV,PP,ZA,55.0,,,,,,2021,,,-29.3857,23.3172,,REIPPPP,Kimberley
De Wildt,Solar,PV,PP,ZA,50.0,,,,,,2021,,,-25.6332,27.9307,,REIPPPP,Pretoria
Bokamoso,Solar,PV,PP,ZA,67.9,,,,,,2020,,,-27.1583,26.4009,,REIPPPP,Carletonville
Waterloo Solar Park,Solar,PV,PP,ZA,75.0,,,,,,2020,,,-27.0322,24.7931,,REIPPPP,Kalahari
Zeerust,Solar,PV,PP,ZA,75.0,,,,,,2021,,,-25.5748,26.0718,,REIPPPP,Carletonville
