canonical_name,carrier,fueltype_custom,technology_custom,p_nom_custom,p_nom_pm,delta_mw,bus_assigned,max_hours_pm,status,notes
Linde,,Solar,PV,36.8000,36.8000,0.0000,605,,ok,
Project Dreunberg,,Solar,PV,69.9000,69.9000,0.0000,321,,ok,
Sishen Solar Facility,,Solar,PV,74.0000,74.0000,0.0000,519,,ok,
Solar Capital De Aar 3,,Solar,PV,75.0000,75.0000,0.0000,561,,ok,
Upington Solar PV,,Solar,PV,8.9000,8.9000,0.0000,563,,ok,
Vredendal,,Solar,PV,8.8000,8.8000,0.0000,1298,,ok,
Adams Solar PV 2,,Solar,PV,75.0000,75.0000,0.0000,370,,ok,
Electra Capital (Pty) Ltd,,Solar,PV,75.0000,75.0000,0.0000,749,,ok,
Mulilo Prieska PV,,Solar,PV,75.0000,75.0000,0.0000,225,,ok,
Mulilo Sonnedix Prieska PV,,Solar,PV,75.0000,75.0000,0.0000,225,,ok,
Pulida Solar Park,,Solar,PV,75.0000,75.0000,0.0000,595,,ok,
Tom Burke Solar Park,,Solar,PV,60.0000,60.0000,0.0000,604,,ok,
Aggeneys Solar,,Solar,PV,40.0000,40.0000,0.0000,966,,ok,
Droogfontein Solar Power,,Solar,PV,75.0000,75.0000,0.0000,660,,ok,
Dyasons Klip 1,,Solar,PV,75.0000,75.0000,0.0000,563,,ok,
Dyasons Klip 2,,Solar,PV,75.0000,75.0000,0.0000,638,,ok,
Konkoonsies II Solar PV Facility,,Solar,PV,75.0000,75.0000,0.0000,577,,ok,
Sirius Solar PV Project One,,Solar,PV,75.0000,75.0000,0.0000,563,,ok,
Loeriesfontein Orange,,Solar,PV,75.0000,75.0000,0.0000,1295,,ok,
Greefspan PV Power Plant2,,Solar,PV,55.0000,55.0000,0.0000,523,,ok,
De Wildt,,Solar,PV,50.0000,50.0000,0.0000,875,,ok,
Bokamoso,,Solar,PV,67.9000,67.9000,0.0000,864,,ok,
Waterloo Solar Park,,Solar,PV,75.0000,75.0000,0.0000,644,,ok,
Zeerust,,Solar,PV,75.0000,75.0000,0.0000,621,,ok,
