canonical_name,carrier,technology,capacity_mw_final,capacity_mw_ppm,capacity_mw_rsa,capacity_mw_reipppp,eskom_anchor_capacity_mw,anchor_delta_mw,date_in_final,date_out_final,lat_final,lon_final,source_ppm,source_rsa,source_reipppp,status_2023,included_2023,decision,decision_reason,notes
Kelvin,coal,Steam Turbine,160.0000,,160.0000,,,,1990,,-26.1158,28.1138,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kelvin'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kendal,coal,Steam Turbine,1920.0000,,1920.0000,,,,1990,,-26.0880,28.9689,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kendal*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kendal,coal,Steam Turbine,1920.0000,,1920.0000,,,,1990,,-26.0880,28.9689,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kendal**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kriel,coal,Steam Turbine,1215.0000,,1215.0000,,,,1990,,-26.2540,29.1801,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kriel*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kriel,coal,Steam Turbine,1425.0000,,1425.0000,,,,1990,,-26.2540,29.1801,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kriel**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kusile,coal,Steam Turbine,2880.0000,,2880.0000,,,,1990,,-25.9201,28.9249,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kusile*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kusile,coal,Steam Turbine,720.0000,,720.0000,,,,2023,,-25.9201,28.9249,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,commissioning,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kusile**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Lethabo,coal,Steam Turbine,1779.0000,,1779.0000,,,,1990,,-26.7403,27.9750,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Lethabo*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Lethabo,coal,Steam Turbine,1779.0000,,1779.0000,,,,1990,,-26.7403,27.9750,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Lethabo**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Majuba,coal,Steam Turbine,1818.0000,,1818.0000,,,,1990,,-27.0955,29.7706,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Majuba*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Majuba,coal,Steam Turbine,1989.0000,,1989.0000,,,,1990,,-27.0955,29.7706,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Majuba**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Matimba,coal,Steam Turbine,1845.0000,,1845.0000,,,,1990,,-23.6678,27.6128,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Matimba*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Matimba,coal,Steam Turbine,1845.0000,,1845.0000,,,,1990,,-23.6678,27.6128,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Matimba**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Matla,coal,Steam Turbine,1725.0000,,1725.0000,,,,1990,,-26.2804,29.1423,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Matla*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Matla,coal,Steam Turbine,1725.0000,,1725.0000,,,,1990,,-26.2804,29.1423,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Matla**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Medupi,coal,Steam Turbine,3600.0000,,3600.0000,,,,1990,,-23.4200,27.3300,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Medupi*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Medupi,coal,Steam Turbine,717.0000,,717.0000,,,,1990,,-23.4200,27.3300,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Medupi**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Tutuka,coal,Steam Turbine,1755.0000,,1755.0000,,,,1990,,-26.7756,29.3521,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Tutuka*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Tutuka,coal,Steam Turbine,1755.0000,,1755.0000,,,,1990,,-26.7756,29.3521,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Tutuka**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Koeberg,nuclear,Steam Turbine,1854.0000,,1854.0000,,,,1990,,-33.6736,18.4282,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Koeberg'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Ankerlig,ocgt_diesel,OCGT,1332.0000,1338.3000,1332.0000,,,,1990,,-33.5920,18.4607,"ppm_live:{'GGPT': {'G100000414353', 'G100000413925', 'G100000414351', 'G100000408556', 'G100000414355', 'G100000414357', 'G100000414352', 'G100000414356', 'G100000414354'}, 'GPD': {'WRI1000116'}, 'GEO': {'GEO-2129'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Ankerlig'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Gourikwa,ocgt_diesel,OCGT,740.0000,740.0000,740.0000,,,,1990,,-34.1653,21.9608,"ppm_live:{'GGPT': {'G100000408557', 'G100000410887', 'G100000410884', 'G100000410886', 'G100000410885'}, 'GPD': {'WRI1000122'}, 'GEO': {'GEO-3357'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Gourikwa'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Acacia,ocgt_diesel,OCGT,171.0000,171.0000,171.0000,,,,1990,,-33.8841,18.5336,"ppm_live:{'GGPT': {'G100000411352', 'G100000411353', 'G100000411354'}, 'GPD': {'WRI1000115'}, 'GEO': {'GEO-1978'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Acacia'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
PortRex,ocgt_diesel,OCGT,171.0000,171.0000,171.0000,,,,1990,,-33.0274,27.8838,"ppm_live:{'GGPT': {'G100000411350', 'G100000411351', 'G100000411349'}, 'GPD': {'WRI1000133'}, 'GEO': {'GEO-4862'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='PortRex'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Gariep,hydro,Reservoir,360.0000,360.0000,360.0000,,,,1990,,-30.6240,25.5040,"ppm_live:{'GHPT': {'G100000603351'}, 'GPD': {'WRI1000121'}, 'GEO': {'GEO-3269'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Gariep'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Vanderkloof,hydro,Reservoir,240.0000,240.0000,240.0000,,,,1990,,-29.9934,24.7338,"ppm_live:{'GHPT': {'G100000603356'}, 'GPD': {'WRI1000136'}, 'GEO': {'GEO-5911'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Vanderkloof'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Avon,ocgt_diesel,OCGT,670.0000,,670.0000,,,,1990,,-29.2510,31.0941,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Avon'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Dedisa,ocgt_diesel,OCGT,335.0000,,335.0000,,,,1990,,-33.4433,25.4022,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Dedisa'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Kaxu Solar One,csp,CSP,100.0000,,100.0000,,,,2015,,-28.8793,19.5929,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kaxu Solar One'; csp_storage_hours=3; max_storage_hours=nan; storage_gwh=nan
Khi Solar One,csp,CSP,50.0000,,50.0000,,,,2015,,-28.5364,21.0782,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Khi Solar One'; csp_storage_hours=6; max_storage_hours=nan; storage_gwh=nan
Bokpoort CSP project,csp,CSP,50.0000,,50.0000,,,,2016,,-28.7333,21.9955,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Bokpoort CSP project'; csp_storage_hours=9; max_storage_hours=nan; storage_gwh=nan
!XiNa Solar One,csp,CSP,100.0000,,100.0000,,,,2017,,-28.8906,19.5918,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='!XiNa Solar One'; csp_storage_hours=6; max_storage_hours=nan; storage_gwh=nan
Karoshoek Solar One,csp,CSP,100.0000,100.0000,100.0000,,,,2019,,-28.4819,21.5204,ppm_live:{'GSPT': {'G100000800175'}},"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Karoshoek Solar One'; csp_storage_hours=6; max_storage_hours=nan; storage_gwh=nan
Kathu Solar Park,csp,CSP,100.0000,,100.0000,,,,2019,,-27.6095,23.0276,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kathu Solar Park'; csp_storage_hours=6; max_storage_hours=nan; storage_gwh=nan
Neusberg Hydro Electrical Project,hydro,Reservoir,10.0000,,10.0000,,,,2020,,-28.7527,20.5335,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Neusberg Hydro Electrical Project'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Stortemelk Hydro,hydro,Reservoir,4.2200,,4.2200,,,,2020,,-28.5142,28.4101,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Stortemelk Hydro'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Kruisvallei Hydro,hydro,Reservoir,3.8000,7.0000,3.8000,,,,2020,,-28.2425,28.3077,ppm_live:{'GPD': {'WRI1026016'}},"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Kruisvallei Hydro'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
ColleyWobbles,hydro,Reservoir,65.0000,,65.0000,,,,2020,,-32.0500,28.5833,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='ColleyWobbles'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
ENERGY Joburg Landfill Gas to Electircity Project,biomass,Steam Turbine,7.5600,,7.5600,,,,2020,,-26.1950,28.0325,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='ENERGY Joburg Landfill Gas to Electircity Project'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Ngodwana Energy,biomass,Steam Turbine,25.0000,,25.0000,,,,2020,,-25.4809,30.9743,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Ngodwana Energy'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Mondi,biomass,Steam Turbine,120.0000,,120.0000,,,,2020,,,,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Mondi'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Sappi,biomass,Steam Turbine,144.0000,,144.0000,,,,2020,,-25.3447,30.3940,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=renewables)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Sappi'; csp_storage_hours=-; max_storage_hours=nan; storage_gwh=nan
Drakensberg,PHS,Pumped Storage,1000.0000,1000.0000,1000.0000,,,,1990,,-28.5628,29.0828,"ppm_live:{'GHPT': {'G100000603350'}, 'GPD': {'WRI1000120'}, 'GEO': {'GEO-2974'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=storage)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Drakensberg'; csp_storage_hours=nan; max_storage_hours=21.7; storage_gwh=21.7
Ingula,PHS,Pumped Storage,1324.0000,,1324.0000,,,,1990,,-28.1650,29.3512,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=storage)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Ingula'; csp_storage_hours=nan; max_storage_hours=20.694864048338367; storage_gwh=27.4
Palmiet,PHS,Pumped Storage,400.0000,400.0000,400.0000,,,,1990,,-34.1972,18.9736,"ppm_live:{'GHPT': {'G100000603353'}, 'GPD': {'WRI1000132'}, 'GEO': {'GEO-4683'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=storage)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Palmiet'; csp_storage_hours=nan; max_storage_hours=25.0; storage_gwh=10.0
Steenbras,PHS,Pumped Storage,180.0000,160.0000,180.0000,,,,1990,,-34.1530,18.9000,"ppm_live:{'GHPT': {'G100000603354'}, 'GEO': {'GEO-42532'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=storage)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Steenbras'; csp_storage_hours=nan; max_storage_hours=15.000000000000002; storage_gwh=2.7
Hex,battery,Battery Storage,20.0000,,20.0000,,,,2023,,-33.6400,19.4800,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=storage)",,commissioning,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Hex'; csp_storage_hours=nan; max_storage_hours=4.0; storage_gwh=0.08
Amakhala,onwind,Onshore,137.9000,139.0000,,137.9000,,,2016,,-32.6920,26.1083,ppm_live:{'GWPT': {'G100000900022'}},,data/za_audit/reipppp_wind_2023_candidates.csv,operating,True,include,REIPPPP wind project flagged included_2023 == True in Module 04 audit,COD=2016/07/28; status=operational
Aurora,onwind,Onshore,90.8000,94.0000,,90.8000,,,2015,,-32.8342,17.9956,"ppm_live:{'GWPT': {'G100000900005'}, 'GPD': {'WRI1026023'}}",,data/za_audit/reipppp_wind_2023_candidates.csv,operating,True,include,REIPPPP wind project flagged included_2023 == True in Module 04 audit,COD=2015/06/09; status=operational
Chaba,onwind,Onshore,20.6000,22.0000,,20.6000,,,2015,,-32.5901,27.9623,"ppm_live:{'GWPT': {'G100000900014'}, 'GPD': {'WRI1061301'}}",,data/za_audit/reipppp_wind_2023_candidates.csv,operating,True,include,REIPPPP wind project flagged included_2023 == True in Module 04 audit,COD=2015/09/30; status=operational
Cookhouse,onwind,Onshore,135.0000,139.0000,,135.0000,,,2014,,-32.7333,25.9093,"ppm_live:{'GWPT': {'G100000900002'}, 'GPD': {'WRI1026026'}}",,data/za_audit/reipppp_wind_2023_candidates.csv,operating,True,include,REIPPPP wind project flagged included_2023 == True in Module 04 audit,COD=2014/11/19; status=operational
Copperton,onwind,Onshore,102.0000,111.0000,,102.0000,,,2020,,-34.1286,24.4818,ppm_live:{'GWPT': {'G100000900026'}},,data/za_audit/reipppp_wind_2023_candidates.csv,operating,True,include,REIPPPP wind project flagged included_2023 == True in Module 04 audit,COD=2020/06/30; status=operational
