Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,source_count,source_flags,raw_project_ids
Jasper Solar,Solar,PV,PP,South Africa,96.0,,2014.0,,,-28.3133,23.3751,,,,,{nan},"{'GSPT': {'G100000800181'}, 'GPD': {'WRI1026044'}}",1,ppm,"{'GSPT': {'G100000800181'}, 'GPD': {'WRI1026044'}}"
Herbert Solar Farm,Solar,PV,PP,South Africa,20.0,,2013.0,,,-29.0019,23.8019,,,,,{nan},"{'GSPT': {'G100000800172'}, 'GPD': {'WRI1026043'}}",1,ppm,"{'GSPT': {'G100000800172'}, 'GPD': {'WRI1026043'}}"
Greefspan Solar,Solar,PV,PP,South Africa,66.0,,2012.0,,,-29.38835,23.31445,,,,,"{nan, nan}","{'GSPT': {'G100000831283', 'G100000800161'}, 'GPD': {'WRI1026042'}}",1,ppm,"{'GSPT': {'G100000831283', 'G100000800161'}, 'GPD': {'WRI1026042'}}"
Droogfontein Solar Farm,Solar,PV,PP,South Africa,50.0,,2014.0,,,-28.6133,24.7468,,,,,{nan},"{'GSPT': {'G100000800120'}, 'GPD': {'WRI1026041'}}",1,ppm,"{'GSPT': {'G100000800120'}, 'GPD': {'WRI1026041'}}"
Dreunberg Solar Farm,Solar,PV,PP,South Africa,75.0,,2014.0,,,-30.8373,26.2055,,,,,{nan},"{'GSPT': {'G100000800119'}, 'GPD': {'WRI1026040'}}",1,ppm,"{'GSPT': {'G100000800119'}, 'GPD': {'WRI1026040'}}"
Steenbras,Hydro,Pumped Storage,Storage,South Africa,160.0,,1979.0,,,-34.152,18.8982,,,,,{nan},"{'GHPT': {'G100000603354'}, 'GEO': {'GEO-42532'}}",1,ppm,"{'GHPT': {'G100000603354'}, 'GEO': {'GEO-42532'}}"
Athlone Coal South Africa Shutdown,Hard Coal,,PP,South Africa,165.9486521813714,,1962.0,,2003.0,-33.9482,18.5124,,,,,"{nan, nan, nan, nan, nan, nan}",{'GEO': {'GEO-2187'}},1,ppm,{'GEO': {'GEO-2187'}}
Athlone Gas Sa,Oil,CCGT,PP,South Africa,52.80112324032367,,1972.0,,,-33.9482,18.5124,,,,,{nan},{'GEO': {'GEO-2188'}},1,ppm,{'GEO': {'GEO-2188'}}
Bloemfontein Coal South Africa,Hard Coal,,PP,South Africa,94.95950652600695,,,,,-29.12425,26.22543,,,,,{nan},{'GEO': {'GEO-178'}},1,ppm,{'GEO': {'GEO-178'}}
First Falls,Hydro,Run-Of-River,PP,South Africa,2.218248946240629,,,,,-31.600286430619,28.817095756531,,,,,{nan},{'GEO': {'GEO-3180'}},1,ppm,{'GEO': {'GEO-3180'}}
First Falls,Hydro,Run-Of-River,PP,South Africa,2.218248946240629,,,,,-31.600286430619,28.817095756531,,,,,{nan},{'GEO': {'GEO-3180'}},1,ppm,{'GEO': {'GEO-3180'}}
Friedenheim Pp,Hydro,,PP,South Africa,1.3361196739040133,,1987.0,,,-25.4514,30.9816,,,,,{nan},{'GEO': {'GEO-45239'}},1,ppm,{'GEO': {'GEO-45239'}}
Friedenheim Pp,Hydro,,PP,South Africa,1.3361196739040133,,1987.0,,,-25.4514,30.9816,,,,,{nan},{'GEO': {'GEO-45239'}},1,ppm,{'GEO': {'GEO-45239'}}
Klipheuwel Wind Farm Sa,Wind,,PP,South Africa,,,2002.0,,,-33.695780129317,18.725552558899,,,,,"{nan, nan, nan}",{'GEO': {'GEO-3872'}},1,ppm,{'GEO': {'GEO-3872'}}
Kroonstad Coal South Africa Shutdown,Hard Coal,,PP,South Africa,27.658108696895226,,,,,-27.667,27.2,,,,,"{nan, nan, nan}",{'GEO': {'GEO-3912'}},1,ppm,{'GEO': {'GEO-3912'}}
Ncora Sa,Hydro,Run-Of-River,PP,South Africa,0.961241210037606,,,,,-31.787390560932,27.677779197693,,,,,{nan},{'GEO': {'GEO-4449'}},1,ppm,{'GEO': {'GEO-4449'}}
Ncora Sa,Hydro,Run-Of-River,PP,South Africa,0.2957665261654172,,,,,-31.787390560932,27.677779197693,,,,,{nan},{'GEO': {'GEO-4449'}},1,ppm,{'GEO': {'GEO-4449'}}
Ncora Sa,Hydro,Run-Of-River,PP,South Africa,0.2957665261654172,,,,,-31.787390560932,27.677779197693,,,,,{nan},{'GEO': {'GEO-4449'}},1,ppm,{'GEO': {'GEO-4449'}}
Orlando Coal South Africa Shutdown,Hard Coal,,PP,South Africa,230.4842391407936,,1954.0,,,-26.25388,27.92378,,,,,"{nan, nan, nan, nan, nan}",{'GEO': {'GEO-4631'}},1,ppm,{'GEO': {'GEO-4631'}}
Pretoria West Gas Sa Shutdown,Natural Gas,CCGT,PP,South Africa,21.740340945568292,,,,,-25.7583,28.14667,,,,,{nan},{'GEO': {'GEO-4925'}},1,ppm,{'GEO': {'GEO-4925'}}
Safari 1 Research Reactor South Africa 1,Nuclear,,PP,South Africa,19.005266455266458,,1965.0,,,-25.801629857981,27.948060035706,,,,,{nan},{'GEO': {'GEO-5207'}},1,ppm,{'GEO': {'GEO-5207'}}
Sasol Chemical Industry Sa,Hard Coal,,PP,South Africa,119.85180435321266,,,,,-28.4541105,26.7967849,,,,,{nan},{'GEO': {'GEO-5284'}},1,ppm,{'GEO': {'GEO-5284'}}
Sasol Synthetic Fuels Sa,Hard Coal,,PP,South Africa,553.1621739379046,,1982.0,,,-26.55885,29.15033,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}",{'GEO': {'GEO-5285'}},1,ppm,{'GEO': {'GEO-5285'}}
Second Falls Sa,Hydro,Run-Of-River,PP,South Africa,4.066789734774487,,,,,-31.68488420735,28.883228302002,,,,,{nan},{'GEO': {'GEO-5304'}},1,ppm,{'GEO': {'GEO-5304'}}
Second Falls Sa,Hydro,Run-Of-River,PP,South Africa,4.066789734774487,,,,,-31.68488420735,28.883228302002,,,,,{nan},{'GEO': {'GEO-5304'}},1,ppm,{'GEO': {'GEO-5304'}}
Swartkops Coal South Africa Shutdown,Hard Coal,,PP,South Africa,221.26486957516184,,1954.0,,1997.0,-33.8707,25.59716,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan}",{'GEO': {'GEO-5616'}},1,ppm,{'GEO': {'GEO-5616'}}
Bethlehem,Hydro,,PP,South Africa,7.0,,2009.0,,,-28.217,28.3631,,,,,{nan},{'GPD': {'WRI1026016'}},1,ppm,{'GPD': {'WRI1026016'}}
Bisasar Road Landfill,Waste,,PP,South Africa,6.5,,2008.0,,,-29.813,30.9821,,,,,{nan},{'GPD': {'WRI1026015'}},1,ppm,{'GPD': {'WRI1026015'}}
Coega Idz Windfarm,Wind,,PP,South Africa,73.8,,2010.0,,,-33.676,25.6028,,,,,{nan},{'GPD': {'WRI1026027'}},1,ppm,{'GPD': {'WRI1026027'}}
Dundee Biogas,Waste,,PP,South Africa,2.22,,2016.0,,,-28.119,30.3584,,,,,{nan},{'GPD': {'WRI1026020'}},1,ppm,{'GPD': {'WRI1026020'}}
Ferro Waste Heat,Waste,,PP,South Africa,2.2,,,,,-25.725,27.6115,,,,,{nan},{'GPD': {'WRI1026031'}},1,ppm,{'GPD': {'WRI1026031'}}
Grahamstown,Solid Biomass,,PP,South Africa,3.5,,2013.0,,,-33.315,26.4908,,,,,{nan},{'GPD': {'WRI1026028'}},1,ppm,{'GPD': {'WRI1026028'}}
Hernic Waste Heat,Waste,,PP,South Africa,25.47,,2013.0,,,-25.662,27.837,,,,,{nan},{'GPD': {'WRI1026032'}},1,ppm,{'GPD': {'WRI1026032'}}
Hopefield,Wind,,PP,South Africa,66.6,,2014.0,,,-33.093,18.3987,,,,,{nan},{'GPD': {'WRI1026018'}},1,ppm,{'GPD': {'WRI1026018'}}
Karoo Renewable Energy Facility Nobelsfontein Wind,Wind,,PP,South Africa,73.8,,2014.0,,,-27.602,22.9201,,,,,{nan},{'GPD': {'WRI1026019'}},1,ppm,{'GPD': {'WRI1026019'}}
Kathu Solar Park,Solar,,PP,South Africa,100.0,,,,,-27.5954,22.929,,,,,{nan},{'GPD': {'WRI1061277'}},1,ppm,{'GPD': {'WRI1061277'}}
Kaxu Solar,Solar,,PP,South Africa,100.0,,2015.0,,,-30.16,24.1365,,,,,{nan},{'GPD': {'WRI1026047'}},1,ppm,{'GPD': {'WRI1026047'}}
Klawer Wind Farm,Wind,,PP,South Africa,30.0,,2014.0,,,-31.8394,18.5638,,,,,{nan},{'GPD': {'WRI1061279'}},1,ppm,{'GPD': {'WRI1061279'}}
Lomati,Solid Biomass,,PP,South Africa,10.1,,,,,-25.772,31.0406,,,,,{nan},{'GPD': {'WRI1026025'}},1,ppm,{'GPD': {'WRI1026025'}}
Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,Wind,,PP,South Africa,100.0,,,,,-30.7259,23.9137,,,,,{nan},{'GPD': {'WRI1061283'}},1,ppm,{'GPD': {'WRI1061283'}}
Longyuan Mulilo Green Energy De Aar North Wind Energy Facility,Wind,,PP,South Africa,144.0,,2017.0,,,-30.5411,24.26,,,,,{nan},{'GPD': {'WRI1061284'}},1,ppm,{'GPD': {'WRI1061284'}}
Mariannhill Landfill,Waste,,PP,South Africa,2.0,,,,,-29.848,30.8359,,,,,{nan},{'GPD': {'WRI1026013'}},1,ppm,{'GPD': {'WRI1026013'}}
Mulilo Sonnedix Prieska,Solar,,PP,South Africa,86.0,,2016.0,,,-30.0246,22.3392,,,,,{nan},{'GPD': {'WRI1061291'}},1,ppm,{'GPD': {'WRI1061291'}}
Neusberg,Hydro,,PP,South Africa,12.57,,,,,-28.772,20.7431,,,,,{nan},{'GPD': {'WRI1026017'}},1,ppm,{'GPD': {'WRI1026017'}}
Petrosa Biogas,Waste,,PP,South Africa,4.2,,2007.0,,,-34.145,22.1045,,,,,{nan},{'GPD': {'WRI1026012'}},1,ppm,{'GPD': {'WRI1026012'}}
Amatikulu,Solid Biomass,,,South Africa,12.0,,,,,-29.044757399999998,31.528295599999996,,,,,"{nan, nan, nan}","{'GBPT': {'G100001053633', 'G100001053631', 'G100001053634'}}",1,ppm,"{'GBPT': {'G100001053633', 'G100001053631', 'G100001053634'}}"
Darnall,Solid Biomass,,,South Africa,13.0,,,,,-29.2728088,31.3800442,,,,,"{nan, nan}","{'GBPT': {'G100001053649', 'G100001053650'}}",1,ppm,"{'GBPT': {'G100001053649', 'G100001053650'}}"
Energy Joburg Electircity,Biogas,,,South Africa,19.0,,2016.0,,,-26.2314108,28.0421397,,,,,{nan},{'GBPT': {'G100001053622'}},1,ppm,{'GBPT': {'G100001053622'}}
Felixton,Solid Biomass,,,South Africa,31.5,,2008.0,,,-28.8349825,31.8914132,,,,,{nan},{'GBPT': {'G100001053635'}},1,ppm,{'GBPT': {'G100001053635'}}
Gledhow Cogeneration,Solid Biomass,,,South Africa,14.3,,,,,-29.362483100000002,31.2893157,,,,,"{nan, nan, nan}","{'GBPT': {'G100001053659', 'G100001053660', 'G100001053653'}}",1,ppm,"{'GBPT': {'G100001053659', 'G100001053660', 'G100001053653'}}"
Komati Biomass,Solid Biomass,,,South Africa,20.0,,1993.0,,,-25.6111453,31.8703206,,,,,"{nan, nan}","{'GBPT': {'G100001053696', 'G100001053697'}}",1,ppm,"{'GBPT': {'G100001053696', 'G100001053697'}}"
Maidstone,Solid Biomass,,,South Africa,21.2,,,,,-29.5511911,31.1303949,,,,,"{nan, nan, nan, nan, nan}","{'GBPT': {'G100001053717', 'G100001053719', 'G100001053718', 'G100001053720', 'G100001053721'}}",1,ppm,"{'GBPT': {'G100001053717', 'G100001053719', 'G100001053718', 'G100001053720', 'G100001053721'}}"
Malelane,Solid Biomass,,,South Africa,34.4,,,,,-25.4642506,31.5661723,,,,,"{nan, nan, nan, nan}","{'GBPT': {'G100001053701', 'G100001053698', 'G100001053700', 'G100001053703'}}",1,ppm,"{'GBPT': {'G100001053701', 'G100001053698', 'G100001053700', 'G100001053703'}}"
Ngodwana Energy,Solid Biomass,,,South Africa,25.0,,2022.0,,,-25.5775101,30.6559878,,,,,{nan},{'GBPT': {'G100001053627'}},1,ppm,{'GBPT': {'G100001053627'}}
Noodsberg,Solid Biomass,,,South Africa,19.0,,1965.0,,,-29.3597896,30.686807,,,,,"{nan, nan, nan}","{'GBPT': {'G100001053706', 'G100001053708', 'G100001053707'}}",1,ppm,"{'GBPT': {'G100001053706', 'G100001053708', 'G100001053707'}}"
Sappi Ngodwana Steam Cogen,Solid Biomass,,,South Africa,117.0,,,,,-25.5773409,30.6636444,,,,,{nan},{'GBPT': {'G100001053638'}},1,ppm,{'GBPT': {'G100001053638'}}
Sezela,Solid Biomass,,,South Africa,19.0,,1971.0,,,-30.4117353,30.6778257,,,,,"{nan, nan, nan}","{'GBPT': {'G100001053725', 'G100001053726', 'G100001053727'}}",1,ppm,"{'GBPT': {'G100001053725', 'G100001053726', 'G100001053727'}}"
Umfolozi,Solid Biomass,,,South Africa,16.0,,1966.0,,,-28.443921,32.1839816,,,,,"{nan, nan}","{'GBPT': {'G100001053729', 'G100001053728'}}",1,ppm,"{'GBPT': {'G100001053729', 'G100001053728'}}"
Avon,Natural Gas,Steam Turbine,,South Africa,670.0,,2016.0,,,-29.418913,31.157693,,,,,"{nan, nan, nan, nan}","{'GGPT': {'G100000414450', 'G100000408559', 'G100000414451', 'G100000414449'}}",1,ppm,"{'GGPT': {'G100000414450', 'G100000408559', 'G100000414451', 'G100000414449'}}"
Dedisa,Natural Gas,CCGT,,South Africa,335.0,,2015.0,,,-33.743385,25.672819,,,,,{nan},{'GGPT': {'G100000408558'}},1,ppm,{'GGPT': {'G100000408558'}}
Secunda,Natural Gas,CCGT,,South Africa,280.0,,2011.0,,,-26.560117,29.168645,,,,,{nan},{'GGPT': {'G100000407268'}},1,ppm,{'GGPT': {'G100000407268'}}
Medupi,Hard Coal,Steam Turbine,,South Africa,4768.799999999999,,2015.0,,2071.0,-23.704973,27.563839,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106785', 'G100000106784', 'G100000106780', 'G100000106783', 'G100000106782', 'G100000106781'}}",1,ppm,"{'GCPT': {'G100000106785', 'G100000106784', 'G100000106780', 'G100000106783', 'G100000106782', 'G100000106781'}}"
Richards Bay Mill,Hard Coal,Steam Turbine,,South Africa,72.3,,1984.0,,,-28.76208,31.99352,,,,,"{nan, nan}","{'GCPT': {'G100000108569', 'G100000108568'}}",1,ppm,"{'GCPT': {'G100000108569', 'G100000108568'}}"
Aggeneys Solar Farm,Solar,PV,PP,South Africa,46.0,,2020.0,,,-29.2374,18.8995,,,,,{nan},{'GSPT': {'G100000800009'}},1,ppm,{'GSPT': {'G100000800009'}}
Amahlathi Local Municipality Amathole District Municipality Solar,Solar,PV,PP,South Africa,2.5,,,,,-32.6578,27.1136,,,,,{nan},{'GSPT': {'G100001024012'}},1,ppm,{'GSPT': {'G100001024012'}}
Bloemfontein Mangaung Metropolitan Municipality Solar,Solar,PV,PP,South Africa,2.6,,2018.0,,,-29.1054,26.1741,,,,,{nan},{'GSPT': {'G100001023947'}},1,ppm,{'GSPT': {'G100001023947'}}
Bokamoso Solar Field,Solar,PV,PP,South Africa,68.0,,2020.0,,,-27.1583,26.4009,,,,,{nan},{'GSPT': {'G100000800080'}},1,ppm,{'GSPT': {'G100000800080'}}
Bolobedu Solar Farm,Solar,PV,PP,South Africa,148.0,,,,,-23.6161,30.3422,,,,,{nan},{'GSPT': {'G100000831278'}},1,ppm,{'GSPT': {'G100000831278'}}
Cape Agulhas Local Municipality Overberg District Municipality Solar,Solar,PV,PP,South Africa,1.2,,2020.0,,,-34.5156,20.074,,,,,{nan},{'GSPT': {'G100001023929'}},1,ppm,{'GSPT': {'G100001023929'}}
Capricorn District Municipality Solar,Solar,PV,PP,South Africa,1.0,,2018.0,,,-22.8598,28.7042,,,,,{nan},{'GSPT': {'G100001023963'}},1,ppm,{'GSPT': {'G100001023963'}}
Capricorn District Municipality Solar,Solar,PV,PP,South Africa,1.5,,2018.0,,,-22.7466,28.1691,,,,,{nan},{'GSPT': {'G100001023964'}},1,ppm,{'GSPT': {'G100001023964'}}
Cederberg Local Municipality West Coast District Municipality Solar,Solar,PV,PP,South Africa,1.1,,2021.0,,,-32.2088,18.8141,,,,,{nan},{'GSPT': {'G100001024013'}},1,ppm,{'GSPT': {'G100001024013'}}
Cederberg Local Municipality West Coast District Municipality Solar,Solar,PV,PP,South Africa,1.4,,2023.0,,,-32.1421,18.9205,,,,,{nan},{'GSPT': {'G100001023985'}},1,ppm,{'GSPT': {'G100001023985'}}
Cederberg Local Municipality West Coast District Municipality Solar,Solar,PV,PP,South Africa,19.5,,2019.0,,,-32.2564,18.9244,,,,,{nan},{'GSPT': {'G100001023933'}},1,ppm,{'GSPT': {'G100001023933'}}
City Of Cape Town Solar,Solar,PV,PP,South Africa,1.0,,2017.0,,,-33.9074,18.5923,,,,,{nan},{'GSPT': {'G100001023939'}},1,ppm,{'GSPT': {'G100001023939'}}
City Of Cape Town Solar,Solar,PV,PP,South Africa,1.3,,2021.0,,,-33.7518,18.606,,,,,{nan},{'GSPT': {'G100001023997'}},1,ppm,{'GSPT': {'G100001023997'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,3.7,,2021.0,,,-26.160600000000002,28.1919,,,,,"{nan, nan}","{'GSPT': {'G100001024003', 'G100001023948'}}",1,ppm,"{'GSPT': {'G100001024003', 'G100001023948'}}"
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.7,,2022.0,,,-26.0709,28.1837,,,,,{nan},{'GSPT': {'G100001023965'}},1,ppm,{'GSPT': {'G100001023965'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.3,,2022.0,,,-26.2845,28.4604,,,,,{nan},{'GSPT': {'G100001023967'}},1,ppm,{'GSPT': {'G100001023967'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.1,,2017.0,,,-26.1813,28.2437,,,,,{nan},{'GSPT': {'G100001023989'}},1,ppm,{'GSPT': {'G100001023989'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.9,,2021.0,,,-25.9607,28.2026,,,,,{nan},{'GSPT': {'G100001023998'}},1,ppm,{'GSPT': {'G100001023998'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.7,,2020.0,,,-26.3432,28.1828,,,,,{nan},{'GSPT': {'G100001024000'}},1,ppm,{'GSPT': {'G100001024000'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.8,,2017.0,,,-26.2582,28.417,,,,,{nan},{'GSPT': {'G100001024002'}},1,ppm,{'GSPT': {'G100001024002'}}
City Of Ekurhuleni Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.2,,2023.0,,,-26.1375,28.27,,,,,{nan},{'GSPT': {'G100001023935'}},1,ppm,{'GSPT': {'G100001023935'}}
City Of Johannesburg Metropolitan Municipality Solar,Solar,PV,PP,South Africa,2.7,,2017.0,,,-26.0002,28.116300000000003,,,,,"{nan, nan}","{'GSPT': {'G100001023988', 'G100001023966'}}",1,ppm,"{'GSPT': {'G100001023988', 'G100001023966'}}"
City Of Tshwane Metropolitan Municipality Solar,Solar,PV,PP,South Africa,3.8000000000000003,,2017.0,,,-25.89825,28.17025,,,,,"{nan, nan}","{'GSPT': {'G100001023991', 'G100001023992'}}",1,ppm,"{'GSPT': {'G100001023991', 'G100001023992'}}"
City Of Tshwane Metropolitan Municipality Solar,Solar,PV,PP,South Africa,3.6,,2017.0,,,-25.7287,28.3422,,,,,{nan},{'GSPT': {'G100001023930'}},1,ppm,{'GSPT': {'G100001023930'}}
De Wildt Solar Park,Solar,PV,PP,South Africa,50.0,,2021.0,,,-25.6332,27.9307,,,,,{nan},{'GSPT': {'G100000800113'}},1,ppm,{'GSPT': {'G100000800113'}}
Drakenstein Local Municipality Cape Winelands District Municipality Solar,Solar,PV,PP,South Africa,1.2,,,,,-33.2989,19.0362,,,,,{nan},{'GSPT': {'G100001024009'}},1,ppm,{'GSPT': {'G100001024009'}}
Droogfontein Solar Farm,Solar,PV,PP,South Africa,86.0,,2020.0,,,-28.5677,24.7023,,,,,{nan},{'GSPT': {'G100000800121'}},1,ppm,{'GSPT': {'G100000800121'}}
Du Plessis Dam Pv Solar Farm,Solar,PV,PP,South Africa,75.0,,,,,-30.6315,24.0398,,,,,{nan},{'GSPT': {'G100000814200'}},1,ppm,{'GSPT': {'G100000814200'}}
Durban Ethekwini Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.5,,2018.0,,,-29.8139,30.9929,,,,,{nan},{'GSPT': {'G100001023996'}},1,ppm,{'GSPT': {'G100001023996'}}
East London Buffalo City Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.2,,2022.0,,,-33.0271,27.8962,,,,,{nan},{'GSPT': {'G100001023994'}},1,ppm,{'GSPT': {'G100001023994'}}
Ehlanzeni District Municipality Solar,Solar,PV,PP,South Africa,1.9,,2021.0,,,-24.6066,31.0404,,,,,{nan},{'GSPT': {'G100001023993'}},1,ppm,{'GSPT': {'G100001023993'}}
Elias Motsoaledi Local Municipality Sekhukhune District Municipality Solar,Solar,PV,PP,South Africa,1.1,,2023.0,,,-25.1675,29.4041,,,,,{nan},{'GSPT': {'G100001024006'}},1,ppm,{'GSPT': {'G100001024006'}}
Elias Motsoaledi Local Municipality Sekhukhune District Municipality Solar,Solar,PV,PP,South Africa,1.3,,2017.0,,,-25.0709,29.1831,,,,,{nan},{'GSPT': {'G100001023942'}},1,ppm,{'GSPT': {'G100001023942'}}
Elikhulu Solar,Solar,PV,PP,South Africa,9.9,,2022.0,,,-26.471,29.0701,,,,,{nan},{'GSPT': {'G100000831282'}},1,ppm,{'GSPT': {'G100000831282'}}
Ephraim Mogale Local Municipality Sekhukhune District Municipality Solar,Solar,PV,PP,South Africa,1.2,,2017.0,,,-25.0546,29.3359,,,,,{nan},{'GSPT': {'G100001023944'}},1,ppm,{'GSPT': {'G100001023944'}}
Ephraim Mogale Local Municipality Sekhukhune District Municipality Solar,Solar,PV,PP,South Africa,1.0,,,,,-25.0547,29.3984,,,,,{nan},{'GSPT': {'G100001023943'}},1,ppm,{'GSPT': {'G100001023943'}}
Ethekwini Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.6,,2019.0,,,-29.7109,31.0554,,,,,{nan},{'GSPT': {'G100001023995'}},1,ppm,{'GSPT': {'G100001023995'}}
George Solar,Solar,PV,PP,South Africa,1.4,,2022.0,,,-33.9782,22.4743,,,,,{nan},{'GSPT': {'G100001023954'}},1,ppm,{'GSPT': {'G100001023954'}}
George Solar,Solar,PV,PP,South Africa,1.0,,2018.0,,,-34.0021,22.3869,,,,,{nan},{'GSPT': {'G100001023946'}},1,ppm,{'GSPT': {'G100001023946'}}
George Solar,Solar,PV,PP,South Africa,1.1,,2022.0,,,-33.6083,22.2312,,,,,{nan},{'GSPT': {'G100001023957'}},1,ppm,{'GSPT': {'G100001023957'}}
Gqeberha Nelson Mandela Bay Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.3,,2019.0,,,-34.0067,25.6716,,,,,{nan},{'GSPT': {'G100001023968'}},1,ppm,{'GSPT': {'G100001023968'}}
Gqeberha Nelson Mandela Bay Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.3,,2020.0,,,-33.8369,25.5395,,,,,{nan},{'GSPT': {'G100001023949'}},1,ppm,{'GSPT': {'G100001023949'}}
Gqeberha Nelson Mandela Bay Metropolitan Municipality Solar,Solar,PV,PP,South Africa,1.1,,2019.0,,,-33.9945,25.6028,,,,,{nan},{'GSPT': {'G100001023951'}},1,ppm,{'GSPT': {'G100001023951'}}
Graspan Solar Pv,Solar,PV,PP,South Africa,75.0,,2025.0,,,-29.3662,24.417,,,,,{nan},{'GSPT': {'G100000814201'}},1,ppm,{'GSPT': {'G100000814201'}}
Greater Tubatse Local Municipality Sekhukhune District Municipality Solar,Solar,PV,PP,South Africa,28.4,,,,,-24.7314,30.21035,,,,,"{nan, nan}","{'GSPT': {'G100001023981', 'G100001023980'}}",1,ppm,"{'GSPT': {'G100001023981', 'G100001023980'}}"
Greater Tzaneen Local Municipality Solar,Solar,PV,PP,South Africa,2.2,,2021.0,,,-23.8639,30.2934,,,,,{nan},{'GSPT': {'G100001023982'}},1,ppm,{'GSPT': {'G100001023982'}}
Grootfontein Pv Solar Farm,Solar,PV,PP,South Africa,225.0,,2025.0,,,-32.9583,19.9319,,,,,"{nan, nan, nan}","{'GSPT': {'G100001021043', 'G100001021042', 'G100000814202'}}",1,ppm,"{'GSPT': {'G100001021043', 'G100001021042', 'G100000814202'}}"
Grootspruit Solar Pv,Solar,PV,PP,South Africa,75.0,,2025.0,,,-27.7375,26.775,,,,,{nan},{'GSPT': {'G100000814205'}},1,ppm,{'GSPT': {'G100000814205'}}
Harmony Free State Solar,Solar,PV,PP,South Africa,30.0,,2023.0,,,-27.8657,26.7123,,,,,{nan},{'GSPT': {'G100000814206'}},1,ppm,{'GSPT': {'G100000814206'}}
Harmony Free State Solar,Solar,PV,PP,South Africa,137.0,,2025.0,,,-27.9255,26.7054,,,,,{nan},{'GSPT': {'G100000800170'}},1,ppm,{'GSPT': {'G100000800170'}}
Heineken Sedibeng Solar,Solar,PV,PP,South Africa,6.5,,2022.0,,,-26.4303,28.0635,,,,,{nan},{'GSPT': {'G100001023953'}},1,ppm,{'GSPT': {'G100001023953'}}
Ilanga Solar,Solar,CSP,PP,South Africa,100.0,,2018.0,,,-28.4819,21.5204,,,,,{nan},{'GSPT': {'G100000800175'}},1,ppm,{'GSPT': {'G100000800175'}}
Johannesburg City Of Johannesburg Metropolitan Municipality Solar,Solar,PV,PP,South Africa,2.2,,2020.0,,,-26.1308,27.974,,,,,{nan},{'GSPT': {'G100001024007'}},1,ppm,{'GSPT': {'G100001024007'}}
Kai Garib Local Municipality Zf Mgcawu District Municipality Solar,Solar,PV,PP,South Africa,1.2,,2018.0,,,-28.642,20.3046,,,,,{nan},{'GSPT': {'G100001023940'}},1,ppm,{'GSPT': {'G100001023940'}}
Kai Garib Local Municipality Zf Mgcawu District Municipality Solar,Solar,PV,PP,South Africa,1.4,,2020.0,,,-28.6673,20.3828,,,,,{nan},{'GSPT': {'G100001023961'}},1,ppm,{'GSPT': {'G100001023961'}}
Kenhardt Solar Farm,Solar,PV,PP,South Africa,540.0,,2024.0,,,-29.196166666666667,21.302766666666667,,,,,"{nan, nan, nan}","{'GSPT': {'G100000800204', 'G100000800206', 'G100000800205'}}",1,ppm,"{'GSPT': {'G100000800204', 'G100000800206', 'G100000800205'}}"
Khai Ma Local Municipality Namakwa District Municipality Solar,Solar,PV,PP,South Africa,1.3,,2021.0,,,-28.9417,18.9904,,,,,{nan},{'GSPT': {'G100001023983'}},1,ppm,{'GSPT': {'G100001023983'}}
Kouga Local Municipality Sarah Baartman District Municipality Solar,Solar,PV,PP,South Africa,1.4,,2021.0,,,-34.0171,24.7706,,,,,{nan},{'GSPT': {'G100001024001'}},1,ppm,{'GSPT': {'G100001024001'}}
Krugersdorp West Rand District Municipality Solar,Solar,PV,PP,South Africa,1.6,,,,,-26.0297,27.7245,,,,,{nan},{'GSPT': {'G100001023945'}},1,ppm,{'GSPT': {'G100001023945'}}
Langeberg Local Municipality Cape Winelands District Municipality Solar,Solar,PV,PP,South Africa,1.0,,,,,-33.9675,19.6159,,,,,{nan},{'GSPT': {'G100001024014'}},1,ppm,{'GSPT': {'G100001024014'}}
