Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,source_count,source_flags,raw_project_ids
Duvha,Hard Coal,Steam Turbine,PP,South Africa,3600.0,,1980.0,,2034.0,-25.961260999999997,29.339713,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000102528', 'G100000102525', 'G100000102527', 'G100000102524', 'G100000102526', 'G100000102529'}, 'GPD': {'WRI1000119'}, 'GEO': {'GEO-2994'}}",1,ppm,"{'GCPT': {'G100000102528', 'G100000102525', 'G100000102527', 'G100000102524', 'G100000102526', 'G100000102529'}, 'GPD': {'WRI1000119'}, 'GEO': {'GEO-2994'}}"
Hendrina,Hard Coal,Steam Turbine,PP,South Africa,2000.0,,1970.0,,2030.0,-26.032043999999996,29.601612999999997,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000103812', 'G100000103809', 'G100000103815', 'G100000103807', 'G100000103810', 'G100000103811', 'G100000103808', 'G100000103813', 'G100000103806', 'G100000103814'}, 'GPD': {'WRI1000124'}, 'GEO': {'GEO-3521'}}",1,ppm,"{'GCPT': {'G100000103812', 'G100000103809', 'G100000103815', 'G100000103807', 'G100000103810', 'G100000103811', 'G100000103808', 'G100000103813', 'G100000103806', 'G100000103814'}, 'GPD': {'WRI1000124'}, 'GEO': {'GEO-3521'}}"
Kendal,Hard Coal,Steam Turbine,PP,South Africa,4116.0,,1988.0,,2044.0,-26.090285000000005,28.968796,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105664', 'G100000105666', 'G100000105668', 'G100000105667', 'G100000105665', 'G100000105663'}, 'GPD': {'WRI1000125'}, 'GEO': {'GEO-3819'}}",1,ppm,"{'GCPT': {'G100000105664', 'G100000105666', 'G100000105668', 'G100000105667', 'G100000105665', 'G100000105663'}, 'GPD': {'WRI1000125'}, 'GEO': {'GEO-3819'}}"
Grootvlei,Hard Coal,Steam Turbine,PP,South Africa,1190.0,,1969.0,,2030.0,-26.768494,28.497758,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000103137', 'G100000103140', 'G100000103138', 'G100000103136', 'G100000103139', 'G100000103141'}, 'GPD': {'WRI1000123'}, 'GEO': {'GEO-3415'}}",1,ppm,"{'GCPT': {'G100000103137', 'G100000103140', 'G100000103138', 'G100000103136', 'G100000103139', 'G100000103141'}, 'GPD': {'WRI1000123'}, 'GEO': {'GEO-3415'}}"
Komati,Hard Coal,Steam Turbine,PP,South Africa,1000.0,,1961.0,,2022.0,-26.09078,29.474460000000004,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105835', 'G100000105829', 'G100000105836', 'G100000105830', 'G100000105834', 'G100000105832', 'G100000105831', 'G100000105828', 'G100000105833'}, 'GPD': {'WRI1000126'}, 'GEO': {'GEO-3884'}}",1,ppm,"{'GCPT': {'G100000105835', 'G100000105829', 'G100000105836', 'G100000105830', 'G100000105834', 'G100000105832', 'G100000105831', 'G100000105828', 'G100000105833'}, 'GPD': {'WRI1000126'}, 'GEO': {'GEO-3884'}}"
Lethabo,Hard Coal,Steam Turbine,PP,South Africa,3708.0,,1985.0,,2041.0,-26.742032,27.976892000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106244', 'G100000106240', 'G100000106245', 'G100000106242', 'G100000106243', 'G100000106241'}, 'GPD': {'WRI1000128'}, 'GEO': {'GEO-4035'}}",1,ppm,"{'GCPT': {'G100000106244', 'G100000106240', 'G100000106245', 'G100000106242', 'G100000106243', 'G100000106241'}, 'GPD': {'WRI1000128'}, 'GEO': {'GEO-4035'}}"
Majuba,Hard Coal,Steam Turbine,PP,South Africa,4143.0,,1996.0,,2051.0,-27.10061,29.770963,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106605', 'G100000106603', 'G100000106600', 'G100000106602', 'G100000106604', 'G100000106601'}, 'GPD': {'WRI1000129'}, 'GEO': {'GEO-4145'}}",1,ppm,"{'GCPT': {'G100000106605', 'G100000106603', 'G100000106600', 'G100000106602', 'G100000106604', 'G100000106601'}, 'GPD': {'WRI1000129'}, 'GEO': {'GEO-4145'}}"
Matimba,Hard Coal,Steam Turbine,PP,South Africa,3990.0,,1987.0,,2042.0,-23.668832999999996,27.610838,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106722', 'G100000106720', 'G100000106723', 'G100000106725', 'G100000106724', 'G100000106721'}, 'GPD': {'WRI1000130'}, 'GEO': {'GEO-4203'}}",1,ppm,"{'GCPT': {'G100000106722', 'G100000106720', 'G100000106723', 'G100000106725', 'G100000106724', 'G100000106721'}, 'GPD': {'WRI1000130'}, 'GEO': {'GEO-4203'}}"
Matla,Hard Coal,Steam Turbine,PP,South Africa,3600.0,,1979.0,,2034.0,-26.281332000000003,29.141506000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106729', 'G100000106727', 'G100000106731', 'G100000106730', 'G100000106726', 'G100000106728'}, 'GPD': {'WRI1000131'}, 'GEO': {'GEO-4204'}}",1,ppm,"{'GCPT': {'G100000106729', 'G100000106727', 'G100000106731', 'G100000106730', 'G100000106726', 'G100000106728'}, 'GPD': {'WRI1000131'}, 'GEO': {'GEO-4204'}}"
Pretoria West,Hard Coal,Steam Turbine,PP,South Africa,180.0,,1952.0,,2024.0,-25.758390000000002,28.14667,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000113799', 'G100000113801', 'G100000113804', 'G100000113803', 'G100000113802', 'G100000113800'}, 'GPD': {'WRI1075861'}, 'GEO': {'GEO-4924'}}",1,ppm,"{'GCPT': {'G100000113799', 'G100000113801', 'G100000113804', 'G100000113803', 'G100000113802', 'G100000113800'}, 'GPD': {'WRI1075861'}, 'GEO': {'GEO-4924'}}"
