bus0,bus1,n_lines,voltage_max_kv,osm_s_nom_total_mw,n_osm_lines,st_clair_n1_mw,ratio_osm_to_stclair,direction,notes
Ladysmith,Newcastle,3,400,3827.4300,1,1304.1800,2.9347,osm_over,
Ladysmith,Pinetown,4,400,4840.7100,1,2504.4200,1.9329,osm_over,
Lephalale,Polokwane,2,400,5362.4300,1,1038.4200,5.1640,osm_over,
Lephalale,Pretoria,2,400,3574.9500,1,1521.3800,2.3498,osm_over,
Lephalale,Rustenburg,5,400,12666.5000,1,3334.7300,3.7984,osm_over,
Lowveld,Middelburg,2,275,4368.1500,1,921.0000,4.7428,osm_over,
Lowveld,Phalaborwa,2,275,2138.2700,1,673.1900,3.1763,osm_over,
Middelburg,Phalaborwa,3,400,4791.5500,1,1936.4800,2.4744,osm_over,
Middelburg,Witbank,11,400,19294.6900,1,15047.9900,1.2822,osm_over,
Mthatha,Pinetown,1,400,6173.5000,1,1025.8900,6.0177,osm_over,
Namaqualand,Vredendal,1,400,3574.9500,1,807.3000,4.4283,osm_over,
Newcastle,Pinetown,2,400,3574.9500,1,1054.9500,3.3887,osm_over,
Nigel,Vaal,2,275,3551.4900,1,685.3100,5.1823,osm_over,
Nigel,Welkom,1,275,277.3800,1,277.3800,1.0000,within_20pct,
Nigel,Witbank,2,275,859.4200,1,859.4200,1.0000,within_20pct,
Outeniqua,Peninsula,3,400,4312.2900,1,2178.1100,1.9798,osm_over,
Peninsula,West Coast,2,400,3722.4200,1,1788.0000,2.0819,osm_over,
Phalaborwa,Polokwane,1,400,1861.2100,1,1182.5800,1.5739,osm_over,
Polokwane,Warmbad,1,275,1069.1300,1,325.8900,3.2807,osm_over,
Pretoria,Rustenburg,1,400,1787.4800,1,1251.6000,1.4282,osm_over,
Vaal,Welkom,1,275,1941.6500,1,311.5400,6.2324,osm_over,
Vaal,West Rand,2,275,2039.9600,1,921.0000,2.2149,osm_over,
Vaal,Witbank,2,400,3574.9500,1,1284.0300,2.7842,osm_over,
Vredendal,West Coast,1,400,1787.4800,1,820.1800,2.1794,osm_over,
_summary_,osm_over,122,0,276746.6500,52,93287.9700,,osm_over,n_corridors=52
_summary_,within_20pct,20,0,13840.7500,11,13698.9400,,within_20pct,n_corridors=11
_summary_,osm_under,9,0,1523.8200,2,7091.7000,,osm_under,n_corridors=2
_summary_,unmatched,0,0,0.0000,0,0.0000,,unmatched,n_corridors=0
