carrier,parameter,value_zar,value_eur,units,base_year,source_carrier_in_audit,source_path,source_hash,conversion_eur_zar_rate,conversion_rate_base_year,source,notes
battery,round_trip_efficiency,,0.890000000,%,2018.000000000,battery_4h,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
battery,max_storage_hours,,4.000000000,hours,2018.000000000,battery_4h,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,,,pypsa_rsa,median across 2023-active stations in fixed_tech
biomass,investment,,2209.000000000,EUR/kWel,2013.000000000,biomass,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
biomass,FOM,,4.526935000,%/year,2013.000000000,biomass,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
biomass,fuel,,7.000000000,EUR/MWhth,2013.000000000,biomass,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
biomass,efficiency,,0.468000000,per unit,,biomass,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
biomass,lifetime,,30.000000000,years,,biomass,data/costs_2030.csv,8a412a1d32c1f43fba1aa46295a67eab13345758eb5f5bffef415ca743b4d7b7,,,pypsa_earth_default,
biomass,VOM_zar,1109.000000000,71.005233439,R/MWh,2018.000000000,bioenergy,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
biomass,FOM_zar,0.000000000,0.000000000,R/kW/yr,2018.000000000,bioenergy,fixed_technologies.xlsx,42648462daa9c6bec30ac41ce5886132b0321d355d21917aa230dfb23e311e03,15.618567059,2018.000000000,pypsa_rsa,median across 2023-active stations in fixed_tech
other_re,marginal_cost,0.000000000,0.000000000,EUR/MWh,2023.000000000,,doc/active/calibration-plan/07_costs_fuels_efficiencies_and_coUE.md,,20.347700000,2023.000000000,za_v1_policy,zero-cost fixed exogenous accounting generation per V1 baseline
other_re,co2_emissions,,0.000000000,tCO2/MWh,2023.000000000,,doc/active/calibration-plan/07_costs_fuels_efficiencies_and_coUE.md,,,,za_v1_policy,biogenic-neutral accounting; aggregate Eskom Other RE category — reporting must flag aggregate-category limitation
load_shedding,solver_safety_valve_marginal_cost,,100000.000000000,EUR/MWh,2023.000000000,,scripts/solve_network.py,,20.347700000,2023.000000000,pypsa_earth_default,"solving.options.load_shedding=100 EUR/kWh * 1000 (solve_network.py:161); numerical sentinel, not policy CoLS"
imports,marginal_cost,0.000000000,0.000000000,EUR/MWh,2023.000000000,,doc/active/calibration-plan/06_demand_import_export_model_inputs.md,,20.347700000,2023.000000000,za_v1_policy,exogenous accounting flow per Module 06; zero marginal cost for V1
exports,marginal_cost,0.000000000,0.000000000,EUR/MWh,2023.000000000,,doc/active/calibration-plan/06_demand_import_export_model_inputs.md,,20.347700000,2023.000000000,za_v1_policy,exogenous accounting flow per Module 06; zero marginal cost for V1
