scenario_set,sheet,source_path,Scenario,bus0,bus1,voltage (kV),length (km),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,LINE_START,LINE_END,DESIGN_VOL,LINE_STATU,BUILD_YEAR,CHECK,Length
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROMIS,NAMA,400.0,PLANNED,2029.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMA,AGGENEIS,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGGENEIS,PAULPOTS,400.0,PLANNED,2030.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGGENEIS,ARIES,400.0,PLANNED,2029.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARIES,UPINGTON,400.0,PLANNED,2026.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARIES,KRONOS,400.0,PLANNED,2029.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARIES,UMTU,765.0,PLANNED,2032.0,OK,368040.0
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPINGTON,FERRUM,400.0,PLANNED,2027.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERRUM,OLIEN,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERRUM,BOUNDARY,400.0,PLANNED,2040.0,,
